,CAMIS,BORO,ZIPCODE,Latitude,Longitude,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE,id,name,review_count,rating,price,location,url
1007,40962335.0,Brooklyn,11201,40.68836479,-73.98856592,Other,16.0,B,2022-01-25,wqOBqXkMar3xPOHfkWGwDA,The Soul Spot,350,3.5,$$,"{'address1': '302 Atlantic Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['302 Atlantic Ave', 'Brooklyn, NY 11201']}",https://www.yelp.com/biz/the-soul-spot-brooklyn?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1009,50096886.0,Brooklyn,11217,40.68201982,-73.97666892,Bakery Products/Desserts,11.0,A,2022-02-03,oLDu3Nrj3X-STILvLTKUtA,Insomnia Cookies,83,3.0,$$,"{'address1': '32 5th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['32 5th Ave', 'Brooklyn, NY 11217']}",https://www.yelp.com/biz/insomnia-cookies-brooklyn?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1010,50046198.0,Manhattan,10016,40.74699242,-73.9835032,Bakery Products/Desserts,2.0,Z,2022-07-18,xxdEhaTDKmqfLiRcuOS48Q,Buttercup Bake Shop,346,4.0,$$,"{'address1': '167 Madison Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['167 Madison Ave', 'New York, NY 10016']}",https://www.yelp.com/biz/buttercup-bake-shop-new-york-8?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1011,41585435.0,Manhattan,10004,40.70394698,-74.01029705,Other,20.0,B,2022-11-04,_YmyHYuM5On1zW17aOf3ZA,Terrace Fish & Chips,108,4.0,$$,"{'address1': '77 Pearl St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['77 Pearl St', 'New York, NY 10004']}",https://www.yelp.com/biz/terrace-fish-and-chips-new-york-2?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1012,41585435.0,Manhattan,10004,40.70394698,-74.01029705,Other,20.0,B,2022-11-04,_YmyHYuM5On1zW17aOf3ZA,Terrace Fish & Chips,108,4.0,$$,"{'address1': '77 Pearl St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['77 Pearl St', 'New York, NY 10004']}",https://www.yelp.com/biz/terrace-fish-and-chips-new-york-2?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1013,41585435.0,Manhattan,10004,40.70394698,-74.01029705,Other,12.0,A,2023-03-16,_YmyHYuM5On1zW17aOf3ZA,Terrace Fish & Chips,108,4.0,$$,"{'address1': '77 Pearl St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['77 Pearl St', 'New York, NY 10004']}",https://www.yelp.com/biz/terrace-fish-and-chips-new-york-2?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1014,41585435.0,Manhattan,10004,40.70394698,-74.01029705,Other,12.0,A,2023-03-16,_YmyHYuM5On1zW17aOf3ZA,Terrace Fish & Chips,108,4.0,$$,"{'address1': '77 Pearl St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['77 Pearl St', 'New York, NY 10004']}",https://www.yelp.com/biz/terrace-fish-and-chips-new-york-2?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1015,41551304.0,Manhattan,10036,40.75590782,-73.98668095,American,8.0,A,2022-05-05,Nz3ednIoYXg1NwOn7jnTOQ,The Counter,933,3.5,$$,"{'address1': '7 Times Square', 'address2': '', 'address3': 'Times Square Tower', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['7 Times Square', 'Times Square Tower', 'New York, NY 10036']}",https://www.yelp.com/biz/the-counter-new-york?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1016,41305419.0,Queens,11429,40.70478623,-73.73999125,Other,9.0,A,2022-03-14,qJ7To7YclxiwFeh022Gozg,St. Best Jerk Spot,99,3.5,$,"{'address1': '11231 Springfield Blvd', 'address2': None, 'address3': None, 'city': 'Queens Village', 'zip_code': '11429', 'country': 'US', 'state': 'NY', 'display_address': ['11231 Springfield Blvd', 'Queens Village, NY 11429']}",https://www.yelp.com/biz/st-best-jerk-spot-queens-village?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1017,50087508.0,Manhattan,10036,40.75628007,-73.97965676,Sandwiches,11.0,A,2022-01-10,OtY9Dbo6Lmh30Qzt4XyZCA,Matto Espresso,93,4.5,$,"{'address1': '8 West 46th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['8 West 46th St', 'New York, NY 10036']}",https://www.yelp.com/biz/matto-espresso-new-york-45?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1018,50110456.0,Brooklyn,11222,40.72785464,-73.95724914,Mexican,10.0,A,2022-02-17,qjCl34rJ0zVUHaZ1irb8FA,Taqueria Ramirez,112,4.5,$$,"{'address1': '94 Franklin St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['94 Franklin St', 'Brooklyn, NY 11222']}",https://www.yelp.com/biz/taqueria-ramirez-brooklyn?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1019,50015643.0,Manhattan,10002,40.72212002,-73.98894252,Other,10.0,A,2022-04-25,8EBOj5bMglNI-jRIQvf6wg,Cheese Grille,622,4.0,$$,"{'address1': '188 Allen St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['188 Allen St', 'New York, NY 10002']}",https://www.yelp.com/biz/cheese-grille-new-york?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1020,41620437.0,Brooklyn,11232,40.66469987,-73.99689649,Other,12.0,A,2022-09-19,SGkJanKe0-T1C3Fp4SSdYQ,Pizza & Bagel on 3rd,19,3.0,$,"{'address1': '129 20th St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11232', 'country': 'US', 'state': 'NY', 'display_address': ['129 20th St', 'Brooklyn, NY 11232']}",https://www.yelp.com/biz/pizza-and-bagel-on-3rd-brooklyn?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1021,40386672.0,Other,10469,40.8773023,-73.85949225,Other,27.0,B,2022-11-09,yLD5SwW0EUTSpFY2_MePug,Frank's Soup Bowl,29,3.0,$,"{'address1': '3580 Bronxwood Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10469', 'country': 'US', 'state': 'NY', 'display_address': ['3580 Bronxwood Ave', 'Bronx, NY 10469']}",https://www.yelp.com/biz/franks-soup-bowl-bronx?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1022,40373500.0,Manhattan,10019,40.76296148,-73.983853,Latin American,9.0,A,2022-02-16,StpOKezaW-AyN2xA1EJKvw,Victor's Cafe,1642,4.0,$$$,"{'address1': '236 W 52nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['236 W 52nd St', 'New York, NY 10019']}",https://www.yelp.com/biz/victors-cafe-new-york-6?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1023,50008021.0,Manhattan,10019,40.76424383,-73.98837957,Other,23.0,B,2022-12-13,FXDMFBM-rV2s5MHzA33d2g,Bombay Grill House,311,4.0,$$,"{'address1': '764 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['764 9th Ave', 'New York, NY 10019']}",https://www.yelp.com/biz/bombay-grill-house-new-york-3?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
