,id,name,review_count,rating,price,location,zip_code
55,HwCuSqJbBCHIee5rvUh-dA,Yummy Bakery,5,3.5,$,"{'address1': '5010 8th Ave', 'address2': '', 'address3': '', 'city': 'Sunset Park', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['5010 8th Ave', 'Sunset Park, NY 11220']}",11220
56,eGIY_25KFspf8KefDQMj-Q,Lan Larb,347,4.0,$$,"{'address1': '637 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['637 2nd Ave', 'New York, NY 10016']}",10016
57,noSQ4KmDFWYHHIP-apM_2w,Every Thing Goes Book Cafe and Neighborhood Stage,63,4.5,$,"{'address1': '208 Bay St', 'address2': '', 'address3': '', 'city': 'Staten Island', 'zip_code': '10301', 'country': 'US', 'state': 'NY', 'display_address': ['208 Bay St', 'Staten Island, NY 10301']}",10301
58,wSr-7T0yep69hlqCGFuTSA,Festac Grill,31,4.0,$$,"{'address1': '263 Hendrix St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11207', 'country': 'US', 'state': 'NY', 'display_address': ['263 Hendrix St', 'Brooklyn, NY 11207']}",11207
59,Qu3xQh6cQ8BDwHIBaEtHuQ,Belly Cake,187,4.0,$$,"{'address1': '38-36 Bell Blvd', 'address2': None, 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['38-36 Bell Blvd', 'Bayside, NY 11361']}",11361
60,OwpRLG5SmzMn14WDvE9trQ,Taqueria Pa Los Dioses,20,4.5,,"{'address1': '3203 31st Ave', 'address2': None, 'address3': '', 'city': 'Astoria', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['3203 31st Ave', 'Astoria, NY 11106']}",11106
61,Y4ggijp5hD52v9pZp5Q0Uw,Lotus Vegetarian,25,4.0,,"{'address1': '2249 Church Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11226', 'country': 'US', 'state': 'NY', 'display_address': ['2249 Church Ave', 'Brooklyn, NY 11226']}",11226
62,jnVGrayjc17bKRfGzmYpBw,El Valle. Com,1,4.0,,"{'address1': '549 Commonwealth Ave', 'address2': '', 'address3': None, 'city': 'The Bronx', 'zip_code': '10473', 'country': 'US', 'state': 'NY', 'display_address': ['549 Commonwealth Ave', 'The Bronx, NY 10473']}",10473
63,5IR02V3Bbkcbs14yfKNDTQ,Taqueria San Pedro,140,3.5,$,"{'address1': '3662 Broadway', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['3662 Broadway', 'New York, NY 10031']}",10031
64,wKxir9c-sdzfWsMYxrRAJA,Legends New York City,467,3.5,$$,"{'address1': '6 W 33rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['6 W 33rd St', 'New York, NY 10001']}",10001
65,iks1xNyp-uZnaeunOM2UPg,Magnolia Bakery Rockefeller Center,2788,3.5,$$,"{'address1': '1240 Ave of the Americas', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10020', 'country': 'US', 'state': 'NY', 'display_address': ['1240 Ave of the Americas', 'New York, NY 10020']}",10020
66,xYJOW011WJPaYXHRP4anxg,Yuju’s Bob-Sang,4,4.5,,"{'address1': '152-26 Northern Blvd', 'address2': '', 'address3': None, 'city': 'Queens', 'zip_code': '11354', 'country': 'US', 'state': 'NY', 'display_address': ['152-26 Northern Blvd', 'Queens, NY 11354']}",11354
67,ft4-eCqO3kukSCsOChMV_g,Chakra Cafe,139,4.0,$$,"{'address1': '44-01 Queens Blvd', 'address2': '', 'address3': None, 'city': 'Sunnyside', 'zip_code': '11104', 'country': 'US', 'state': 'NY', 'display_address': ['44-01 Queens Blvd', 'Sunnyside, NY 11104']}",11104
68,pXhCF_xD2WIT9cifSplksw,Papa Johns Pizza,5,2.5,,"{'address1': '5542 Metropolitan Ave', 'address2': None, 'address3': '', 'city': 'Ridgewood', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['5542 Metropolitan Ave', 'Ridgewood, NY 11385']}",11385
69,_RT9XPpn5jkNesxNzvktqw,Prince Tea House,542,4.0,$$,"{'address1': '6122 7th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['6122 7th Ave', 'Brooklyn, NY 11220']}",11220
70,td-ANnbKeuQ0Z-XwWgxWaA,Starbucks,58,3.0,$$,"{'address1': '822 Lexington Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10065', 'country': 'US', 'state': 'NY', 'display_address': ['822 Lexington Ave', 'New York, NY 10065']}",10065
71,SE7iVxHgqTcKbaRw8MBJWw,Subway,10,1.5,$,"{'address1': '7521 13th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11228', 'country': 'US', 'state': 'NY', 'display_address': ['7521 13th Ave', 'Brooklyn, NY 11228']}",11228
72,FLRx5tOBMMDJHEUYAAfa8A,Caledonia Bar,268,4.5,$$,"{'address1': '1609 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1609 2nd Ave', 'New York, NY 10028']}",10028
73,C8375GJ4VL4zcfzzGb1M-Q,Dunkin',14,2.5,$,"{'address1': '471 Lexington Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['471 Lexington Ave', 'New York, NY 10017']}",10017
74,B7dKdDzaqK4Az-br-URGgA,Domino's Pizza,214,1.5,$,"{'address1': '183 Graham Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['183 Graham Ave', 'Brooklyn, NY 11206']}",11206
75,BTWWgZrMo_pS_BK-TYO92g,Shanghai Restaurant,416,4.0,$$,"{'address1': '493 Main St', 'address2': '', 'address3': '', 'city': 'Fort Lee', 'zip_code': '07024', 'country': 'US', 'state': 'NJ', 'display_address': ['493 Main St', 'Fort Lee, NJ 07024']}",07024
76,xEnNFXtMLDF5kZDxfaCJgA,The Halal Guys,10303,4.0,$,"{'address1': 'W 53rd Street And 6th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['W 53rd Street And 6th Ave', 'New York, NY 10019']}",10019
77,mBZUWdasmua9XOsWy8xdWA,Jacques,255,3.5,$$,"{'address1': '206 E 85th St', 'address2': 'Ste 204', 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['206 E 85th St', 'Ste 204', 'New York, NY 10028']}",10028
78,ojbH3wnRu050hRhkmoxRiA,Han Dynasty,695,4.0,$$,"{'address1': '215 W 85th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['215 W 85th St', 'New York, NY 10024']}",10024
79,SqUIFSqY1PWKWY_hfgJ0MQ,Maguro,421,3.5,$$,"{'address1': '160 E 28th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['160 E 28th St', 'New York, NY 10016']}",10016
80,kxj7TPtJY2zbEjGV0PYfAA,Le Bon Pain Bakery,111,4.0,$,"{'address1': '211-65 Jamaica Ave', 'address2': '', 'address3': '', 'city': 'Queens Village', 'zip_code': '11428', 'country': 'US', 'state': 'NY', 'display_address': ['211-65 Jamaica Ave', 'Queens Village, NY 11428']}",11428
81,rqTq2i2VJFzZhgpx9Z2WqA,Melissa Bakery,2,4.5,$,"{'address1': '6115 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['6115 5th Ave', 'Brooklyn, NY 11220']}",11220
82,Aa934EMuqCdEV86faZG-0A,Starbucks,61,3.0,$$,"{'address1': '3 Park Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['3 Park Ave', 'New York, NY 10016']}",10016
83,69X4XVef3NRV_LlIvEuXug,La Fogata,2,2.5,$$,"{'address1': '1549 Gates Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['1549 Gates Ave', 'Brooklyn, NY 11237']}",11237
84,M3esPgE0_F_VUzCnQc5Qig,T & G Flavors,56,2.5,$$,"{'address1': '228-01 Linden Blvd', 'address2': '', 'address3': '', 'city': 'Cambria Heights', 'zip_code': '11411', 'country': 'US', 'state': 'NY', 'display_address': ['228-01 Linden Blvd', 'Cambria Heights, NY 11411']}",11411
85,LoGeKb09bTMawk9xstb-hQ,Soldier Jerk Center And Restaurant,94,3.5,$,"{'address1': '98 Malcolm X Blvd', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['98 Malcolm X Blvd', 'Brooklyn, NY 11221']}",11221
86,ZeWJxoorJP_oO4-Kx-VHIQ,Dunkin',26,3.0,$,"{'address1': '2062 Lakeville Rd', 'address2': None, 'address3': None, 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['2062 Lakeville Rd', 'New Hyde Park, NY 11040']}",11040
87,3gHIMcUaeQHesJhYPbXjfg,The Allen Hotel,38,3.0,$$,"{'address1': '88 Allen St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['88 Allen St', 'New York, NY 10002']}",10002
88,q_S2aqatVREvceTHI6c-lw,Glenpatrick's Pub,14,4.5,$,"{'address1': '53-73 65th Pl', 'address2': None, 'address3': '', 'city': 'Maspeth', 'zip_code': '11378', 'country': 'US', 'state': 'NY', 'display_address': ['53-73 65th Pl', 'Maspeth, NY 11378']}",11378
89,BPLhZ4FildfaCiKLNd0dsA,Jupiter Disco,49,4.0,$$,"{'address1': '1237 Flushing Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['1237 Flushing Ave', 'Brooklyn, NY 11237']}",11237
