CAMIS,DBA,BORO,ZIPCODE,Latitude,Longitude,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE
50046987.0,PANADERIA MELISSA BAKERY,Brooklyn,11220.0,40.63874677,-74.01690591,Bakery Products/Desserts,26.0,B,2022-06-14
41100003.0,STARBUCKS,Manhattan,10016.0,40.74673687,-73.98157606,Coffee/Tea,10.0,A,2022-10-26
41149143.0,LA FOGATA,Brooklyn,11237.0,40.69955511,-73.9121833,Mexican,13.0,A,2022-04-04
50035920.0,T & G FLAVORS,Queens,11411.0,40.69291277,-73.7330311,Caribbean,41.0,C,2022-01-31
50073653.0,SOLDIER'S JERK CENTER,Brooklyn,11221.0,40.69042213,-73.93056043,Caribbean,12.0,A,2022-03-02
41175261.0,DUNKIN,Queens,11004.0,40.74565042,-73.71455401,Donuts,10.0,A,2023-02-27
50069653.0,ALLEN HOTEL,Manhattan,10002.0,40.71808813,-73.99093811,Coffee/Tea,64.0,C,2022-11-22
40393832.0,GLEN PATRICK'S PUB,Queens,11378.0,40.72925198,-73.90022301,American,9.0,A,2022-01-05
50051321.0,JUPITER DISCO,Brooklyn,11237.0,40.70800064,-73.92348696,American,2.0,A,2022-10-25
50097268.0,CINNABON,Staten Island,10314.0,40.58229742,-74.16905259,Bakery Products/Desserts,13.0,A,2022-11-14
50088158.0,XIANG HOTPOT,Brooklyn,11219.0,40.63393358,-74.00430183,Chinese,22.0,B,2022-02-23
50082585.0,ODDFELLOWS ICE CREAM,Brooklyn,11201.0,40.70326369,-73.99166506,Frozen Desserts,12.0,A,2022-11-29
41118287.0,LA LIBERTAD RESTAURANT,Queens,11417.0,40.68068449,-73.84262375,Spanish,12.0,A,2022-09-08
50069592.0,MAMA'S TOO!,Manhattan,10025.0,40.80086592,-73.96791871,Pizza,11.0,A,2022-05-12
50074983.0,SHINSEN,Manhattan,10013.0,40.71565931,-73.99643598,Japanese,12.0,A,2023-02-17
41271036.0,CHIPOTLE MEXICAN GRILL,Manhattan,10025.0,40.80429374,-73.96661668,Tex-Mex,7.0,A,2022-01-27
50036006.0,PUERTA DEL SOL RESTAURANT,Brooklyn,11219.0,40.62025914,-73.99822055,Spanish,12.0,A,2022-03-22
41062347.0,POSTMARK CAFE,Brooklyn,11215.0,40.67130018,-73.98546864,Coffee/Tea,4.0,A,2022-03-08
50122868.0,DOMINO'S PIZZA #3680,Manhattan,10034.0,40.86611896,-73.92562187,Pizza,0.0,A,2022-06-23
50050674.0,MCDONALD'S,Bronx,10460.0,40.83582483,-73.89067017,Hamburgers,6.0,A,2022-06-07
50049320.0,ICHIRAN NY,Brooklyn,,0.0,0.0,Japanese,12.0,A,2022-04-26
50016457.0,ACADEMY CAFE,Queens,11354.0,40.77058178,-73.84303147,American,22.0,Z,2023-02-28
50079399.0,WAGAMAMA,Manhattan,10158.0,40.74906882,-73.97568171,Asian/Asian Fusion,13.0,A,2022-04-15
50070448.0,IMPERIAL TASTE 88,Queens,11364.0,40.74940611,-73.75531416,Chinese,3.0,A,2022-02-24
50045243.0,FANCY CAKES BAKERY,Brooklyn,11223.0,40.60524359,-73.9809058,Chinese,10.0,A,2022-08-18
50053408.0,MITZ (MELLOW YELLOW COFFEE & VIBES),Manhattan,10128.0,40.77912008,-73.94774507,Jewish/Kosher,35.0,Z,2023-01-12
41130663.0,ROSA'S CAFE,Queens,11101.0,40.75412669,-73.93265579,Peruvian,13.0,A,2023-02-24
50005551.0,NEW FIRST COOK RESTAURANT,Brooklyn,11223.0,40.59098766,-73.98416119,Chinese,14.0,Z,2023-03-16
40391531.0,TEA AND SYMPATHY,Manhattan,10011.0,40.73834759,-74.0021543,English,11.0,A,2022-04-20
50040360.0,HARDEE,Brooklyn,11213.0,40.67170567,-73.93083594,Chinese,12.0,A,2022-05-07
50065580.0,SWEETGREEN,Manhattan,10003.0,40.73400241,-73.99270761,Salads,3.0,A,2022-01-05
41671103.0,ALFIE'S,Manhattan,10019.0,40.76544869,-73.98750212,Irish,10.0,A,2022-12-07
50017056.0,SILVER SPOON DINER,Queens,11373.0,40.73521885,-73.86509733,American,9.0,A,2023-02-16
50088583.0,TRE JOLIE CAFE,Brooklyn,11207.0,40.6837227,-73.9079857,American,12.0,A,2022-11-23
40674475.0,JOHN'S PIZZERIA,Manhattan,10014.0,40.73169151,-74.00328344,Pizza,27.0,B,2022-02-28
50017287.0,BAY RIDGE CAFE,Brooklyn,11220.0,40.63519939,-74.02329303,Coffee/Tea,9.0,A,2022-07-20
